class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023101,PCS3553,Laboratório de Engenharia de Software II,Jorge Luis Risco Becerra,2023-01-09,2023-04-20,eletrica-manual,qua,14:00,17:40,Elétrica,LabES,1
2023101,PCS3853,Laboratório de Engenharia de Software II,Jorge Luis Risco Becerra,2023-01-09,2023-04-20,eletrica-manual,qua,14:00,17:40,Elétrica,LabES,1
2023150,PCS3548,Sistemas Embarcados,Bruno de Carvalho Albertini,2023-01-09,2023-04-20,eletrica-manual,sex,14:00,17:40,Elétrica,C1-49,1
2023150,PCS3848,Sistemas Embarcados,Bruno de Carvalho Albertini,2023-01-09,2023-04-20,eletrica-manual,sex,14:00,17:40,Elétrica,C1-49,1
2023101,PCS2305,Laboratório Digital I,Edith Ranzini,2023-03-13,2023-07-15,eletrica-manual,qua,14:00,17:40,Elétrica,C1-13,1
2023101,PCS3635,Laboratório Digital I,Edson Toshimi Midorikawa,2023-01-09,2023-04-20,eletrica-manual,seg,08:20,12:00,Elétrica,C1-17,1
2023102,PCS3635,Laboratório Digital I,Edson Toshimi Midorikawa,2023-01-09,2023-04-20,eletrica-manual,seg,08:20,12:00,Elétrica,C1-17,1
2023103,PCS3635,Laboratório Digital I,Reginaldo Arakaki,2023-01-09,2023-04-20,eletrica-manual,qua,08:20,12:00,Elétrica,C1-17,1
2023104,PCS3635,Laboratório Digital I,Paulo Sergio Cugnasca,2023-01-09,2023-04-20,eletrica-manual,qua,08:20,12:00,Elétrica,C1-17,1
2023150,PCS3623,Banco de Dados I,Jorge Rady de Almeida Junior,2023-01-09,2023-04-20,eletrica-manual,ter,16:00,17:40,Elétrica,C1-30,1
2023150,PCS3623,Banco de Dados I,Jorge Rady de Almeida Junior,2023-01-09,2023-04-20,eletrica-manual,qui,16:00,17:40,Elétrica,C1-30,1
2023150,PCS3616TV,Sistemas de Programação,Ricardo Luis de Azevedo da Rocha,2023-01-09,2023-04-20,eletrica-manual,ter,14:00,15:40,Elétrica,C1-30,1
2023150,PCS3616TV,Sistemas de Programação,Ricardo Luis de Azevedo da Rocha,2023-01-09,2023-04-20,eletrica-manual,qui,14:00,15:40,Elétrica,C1-30,1
2023151,PCS3616PV,Sistemas de Programação,Ricardo Luis de Azevedo da Rocha,2023-01-09,2023-04-20,eletrica-manual,seg,14:00,15:40,Elétrica,LabProg,1
2023152,PCS3616PV,Sistemas de Programação,Ricardo Luis de Azevedo da Rocha,2023-01-09,2023-04-20,eletrica-manual,qua,14:00,15:40,Elétrica,LabProg,1
2023150,PTC3007,Sistemas e Sinais,Cinthia Itiki,2023-01-09,2023-04-20,eletrica-manual,ter,10:20,12:00,Elétrica,C1-30,1
2023150,PTC3007,Sistemas e Sinais,Cinthia Itiki,2023-01-09,2023-04-20,eletrica-manual,qui,10:20,12:00,Elétrica,C1-30,1
2023101,MAP3122,Métodos Numéricos e Aplicações,Alexandre Megiorin Roma,2023-01-09,2023-04-20,eletrica-manual,ter,08:20,10:00,Elétrica,C1-30,
